date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-05-14,17.364457551515446,5113.900935076154,9704.019184959669,-987.7154224126716,4569.0,11254.0,15823.0,14817.920120035822
2020-05-15,12.562320806194258,4965.910083096783,9856.812173684364,-1232.7154224126716,4576.0,11492.0,16068.0,14822.722256781148
2020-05-16,9.174149417814764,4820.947260946274,10005.163167223252,,,,,14826.110428169526
2020-05-17,6.761753858943808,4679.353226813317,10149.16959691508,,,,,14828.522823728397
2020-05-18,5.028675399892263,4541.3191038520345,10288.936798335413,,,,,14830.255902187448
2020-05-19,3.7726608338136827,4406.93761045396,10424.574306299568,,,,,14831.511916753527
2020-05-20,2.8545616033193255,4276.23660062604,10556.193415357982,,,,,14832.430015984022
2020-05-21,2.177840302344241,4149.201165954763,10683.905571330237,,,,,14833.106737285001
2020-05-22,1.6749655458574184,4025.7882999013086,10807.821312140175,,,,,14833.609612041484
2020-05-23,1.2983109984566978,3905.936692292372,10928.049574296514,,,,,14833.986266588887
2020-05-24,1.1809687877805932,3789.409039883216,11044.694568916346,,,,,14834.103608799562
2020-05-25,1.0772723139437703,3676.347812841294,11157.859492432104,,,,,14834.207305273398
2020-05-26,0.9853794200343838,3566.6513174145643,11267.647880752744,,,,,14834.299198167308
2020-05-27,0.9037262920150766,3460.220612088106,11374.16023920722,,,,,14834.380851295326
2020-05-28,0.8309815606590671,3356.959481258771,11477.49411476791,,,,,14834.45359602668
2020-05-29,0.7660083573066984,3256.7743911137054,11577.744178116327,,,,,14834.518569230033
2020-05-30,0.7078330965021198,3159.574440274828,11675.00230421601,,,,,14834.576744490838
2020-05-31,0.6556197529642331,3065.2713065292537,11769.357651305121,,,,,14834.628957834375
2020-06-01,0.6086483946295241,2973.7791909262314,11860.896738266478,,,,,14834.675929192708
2020-06-02,0.5662974516869598,2885.014759889028,11949.703520246625,,,,,14834.718280135654
2020-06-03,0.528028875560389,2798.897086202645,12035.859462509134,,,,,14834.756548711779
